Smell ID,Ranking,CRI,Severity,Class Name,Package Name,Smell Type
75,1.0,4.387586820000001,2,Project,argouml/src_new/org.argouml.kernel,GodClass
96,0.9066517753829881,3.97801338,3,StylePanel,argouml/src_new/org.argouml.ui,SchizophrenicClass
98,0.7843442765196378,3.4413786099999992,5,ProjectBrowser,argouml/src_new/org.argouml.ui,GodClass
97,0.7843442765196378,3.4413786099999992,3,ProjectBrowser,argouml/src_new/org.argouml.ui,BlobClass
80,0.4998211294654221,2.1930086,2,ExtensionMechanismsHelperMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
121,0.46724444531903286,2.0500755699999997,3,FigEdgeModelElement,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
120,0.38288637214932636,1.6799471999999998,3,FigNodeModelElement,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
74,0.3651467072280064,1.60211288,1,WizStep,argouml/src_new/org.argouml.cognitive.ui,SchizophrenicClass
100,0.36101366764521364,1.58397881,2,UMLMutableGraphSupport,argouml/src_new/org.argouml.uml.diagram,GodClass
82,0.36062894819252816,1.5822908199999999,4,UmlFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
79,0.24245022232973154,1.0637714,7,GeneratorPHP4,argouml/modules/php/src/org.argouml.language.php.generator,BlobClass
84,0.2004294242090917,0.8794015,5,CoreFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
83,0.2004294242090917,0.8794015,3,CoreFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,SchizophrenicClass
85,0.15220159221829369,0.6677977,3,CoreHelperMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
115,0.13897767155750546,0.6097766,5,FigClassifierBox,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,RefusedParentBequest
126,0.11869068610248032,0.52076569,2,StateBodyNotationUml,argouml/src_new/org.argouml.uml.notation.uml,GodClass
124,0.11091440921048255,0.4866466,1,Language,argouml/src_new/org.argouml.uml.generator,DataClass
76,0.1086311016860972,0.47662838999999996,8,GeneratorCSharp,argouml-csharp/src/org.argouml.language.csharp.generator,BlobClass
73,0.10014295739907432,0.43938592000000004,2,ToDoItem,argouml/src_new/org.argouml.cognitive,GodClass
93,0.09457116793873492,0.41493921,2,JasonsTheme,argouml/src_new/org.argouml.ui,DataClass
94,0.0940179162084364,0.41251177,2,JasonsHugeTheme,argouml/src_new/org.argouml.ui,DataClass
99,0.09396313210732087,0.41227139999999995,2,JasonsBigTheme,argouml/src_new/org.argouml.ui,DataClass
117,0.08442346218917668,0.37041527,8,FigAssociation,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
131,0.08377562087762856,0.36757280999999997,1,AbstractPropPanelState,argouml/src_new/org.argouml.uml.ui.behavior.state_machines,DataClass
77,0.07947435442428463,0.34870063,8,GeneratorJava,argouml/src_new/org.argouml.language.java.generator,BlobClass
114,0.07889944842162687,0.34617817999999995,3,FigClass,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,GodClass
127,0.038777803603667484,0.17014098,6,Import,argouml/src_new/org.argouml.uml.reveng,SchizophrenicClass
103,0.038518531241280365,0.1690034,1,StateDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.state,SchizophrenicClass
81,0.02746081272985499,0.1204867,2,FacadeMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
113,0.026547668406023697,0.1164802,1,FigComment,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,TraditionBreaker
101,0.0219722261814981,0.09640505,3,SequenceDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.sequence,GodClass
102,0.0,0,7,FigClassifierRole,argouml/src_new/org.argouml.uml.diagram.sequence.ui,RefusedParentBequest
128,0.0,0,7,Modeller,argouml/src_new/org.argouml.uml.reveng.java,BlobClass
95,0.0,0,5,StylePanelFigText,argouml/src_new/org.argouml.ui,RefusedParentBequest
87,0.0,0,4,NSUMLModelImplementation,argouml/src_new/org.argouml.model.uml,DataClass
91,0.0,0,4,UmlFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
123,0.0,0,4,ParserDisplay,argouml/src_new/org.argouml.uml.generator,GodClass
130,0.0,0,4,RESequenceDiagramDialog,argouml/src_new/org.argouml.uml.reveng.ui,GodClass
86,0.0,0,3,CommonBehaviorFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
89,0.0,0,3,CoreFactoryImpl,argouml/src_new/org.argouml.model.uml,SchizophrenicClass
90,0.0,0,3,CoreFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
116,0.0,0,3,FigInterface,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,GodClass
129,0.0,0,3,Modeller,argouml/src_new/org.argouml.uml.reveng.java,GodClass
88,0.0,0,2,StateMachinesFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
119,0.0,0,2,ActionMultiplicity,argouml/src_new/org.argouml.uml.diagram.ui,DataClass
122,0.0,0,2,UseCaseDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.use_case,BlobClass
