Id,Severity,Entity Name,Package Name,Smell Type
76,8,GeneratorCSharp,argouml-csharp/src/org.argouml.language.csharp.generator,BlobClass
77,8,GeneratorJava,argouml/src_new/org.argouml.language.java.generator,BlobClass
117,8,FigAssociation,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
79,7,GeneratorPHP4,argouml/modules/php/src/org.argouml.language.php.generator,BlobClass
102,7,FigClassifierRole,argouml/src_new/org.argouml.uml.diagram.sequence.ui,RefusedParentBequest
128,7,Modeller,argouml/src_new/org.argouml.uml.reveng.java,BlobClass
127,6,Import,argouml/src_new/org.argouml.uml.reveng,SchizophrenicClass
84,5,CoreFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
95,5,StylePanelFigText,argouml/src_new/org.argouml.ui,RefusedParentBequest
98,5,ProjectBrowser,argouml/src_new/org.argouml.ui,GodClass
115,5,FigClassifierBox,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,RefusedParentBequest
82,4,UmlFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
87,4,NSUMLModelImplementation,argouml/src_new/org.argouml.model.uml,DataClass
91,4,UmlFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
123,4,ParserDisplay,argouml/src_new/org.argouml.uml.generator,GodClass
130,4,RESequenceDiagramDialog,argouml/src_new/org.argouml.uml.reveng.ui,GodClass
83,3,CoreFactoryMDRImpl,argouml-mdr/src/org.argouml.model.mdr,SchizophrenicClass
85,3,CoreHelperMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
86,3,CommonBehaviorFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
89,3,CoreFactoryImpl,argouml/src_new/org.argouml.model.uml,SchizophrenicClass
90,3,CoreFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
96,3,StylePanel,argouml/src_new/org.argouml.ui,SchizophrenicClass
97,3,ProjectBrowser,argouml/src_new/org.argouml.ui,BlobClass
101,3,SequenceDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.sequence,GodClass
114,3,FigClass,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,GodClass
116,3,FigInterface,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,GodClass
120,3,FigNodeModelElement,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
121,3,FigEdgeModelElement,argouml/src_new/org.argouml.uml.diagram.ui,GodClass
129,3,Modeller,argouml/src_new/org.argouml.uml.reveng.java,GodClass
73,2,ToDoItem,argouml/src_new/org.argouml.cognitive,GodClass
75,2,Project,argouml/src_new/org.argouml.kernel,GodClass
80,2,ExtensionMechanismsHelperMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
81,2,FacadeMDRImpl,argouml-mdr/src/org.argouml.model.mdr,GodClass
88,2,StateMachinesFactoryImpl,argouml/src_new/org.argouml.model.uml,GodClass
93,2,JasonsTheme,argouml/src_new/org.argouml.ui,DataClass
94,2,JasonsHugeTheme,argouml/src_new/org.argouml.ui,DataClass
99,2,JasonsBigTheme,argouml/src_new/org.argouml.ui,DataClass
100,2,UMLMutableGraphSupport,argouml/src_new/org.argouml.uml.diagram,GodClass
119,2,ActionMultiplicity,argouml/src_new/org.argouml.uml.diagram.ui,DataClass
122,2,UseCaseDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.use_case,BlobClass
126,2,StateBodyNotationUml,argouml/src_new/org.argouml.uml.notation.uml,GodClass
74,1,WizStep,argouml/src_new/org.argouml.cognitive.ui,SchizophrenicClass
78,1,SimpleCodePiece,argouml/src_new/org.argouml.language.java.generator,DataClass
92,1,ObjectCreateInfo,argouml/src_new/org.argouml.model.uml,DataClass
103,1,StateDiagramGraphModel,argouml/src_new/org.argouml.uml.diagram.state,SchizophrenicClass
104,1,FigHistoryState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
105,1,FigJunctionState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
106,1,FigInitialState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
107,1,FigBranchState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
108,1,FigFinalState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
109,1,FigJoinState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
110,1,FigSynchState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
111,1,FigConcurrentRegion,argouml/src_new/org.argouml.uml.diagram.state.ui,SchizophrenicClass
112,1,FigForkState,argouml/src_new/org.argouml.uml.diagram.state.ui,TraditionBreaker
113,1,FigComment,argouml/src_new/org.argouml.uml.diagram.static_structure.ui,TraditionBreaker
118,1,ActionAggregation,argouml/src_new/org.argouml.uml.diagram.ui,DataClass
124,1,Language,argouml/src_new/org.argouml.uml.generator,DataClass
125,1,TableModelClassChecks,argouml/src_new/org.argouml.uml.generator.ui,SchizophrenicClass
131,1,AbstractPropPanelState,argouml/src_new/org.argouml.uml.ui.behavior.state_machines,DataClass
132,1,PropPanelStateVertex,argouml/src_new/org.argouml.uml.ui.behavior.state_machines,DataClass
